SEZCENS;ZONASTAT;NCIRCO;SUPERF
1889;45;5;13828.42
1890;45;5;5171.79
1891;45;5;8611.23
1892;45;5;12993.87
1893;45;5;11418.05
1894;45;5;18254.11
1895;45;5;13613.59
1896;45;5;12268.87
1897;45;5;5960.94
1898;45;5;12247.15
1899;45;5;7460.96
1900;45;5;7573.32
1901;46;5;20479.93
1902;46;5;20317.35
1903;46;5;27171.93
1904;46;5;17806.6
1905;46;5;22176.4
1906;46;5;10533.83
1907;46;5;8956.86
1908;46;5;8748.63
1909;46;5;8544.74
1910;46;5;8727.19
1911;46;5;39694.07
1912;46;5;21204.17
1913;46;5;25676.48
1914;46;5;7888.74
1915;46;5;11117.75
1916;46;5;15340.78
1917;46;5;10346.4
1918;46;5;6740.17
1919;46;5;28889.21
1920;46;5;15169.55
1921;46;5;62592.2
1922;46;5;14251.7
1923;46;5;22460.74
1924;46;5;20152.74
1925;47;5;12472.56
1926;47;5;12968.68
1927;47;5;10799.99
1928;47;5;15509.92
1929;47;5;24765.41
1930;47;5;7342.99
1931;47;5;19146.29
1932;47;5;11605.21
1933;47;5;10920.46
1934;47;5;9765
1935;47;5;8344.99
1937;47;5;10351.5
1938;47;5;12620.56
1939;47;5;18312.94
1940;47;5;50606.35
1941;47;5;48529.53
1942;47;5;4261.19
1943;47;5;18489.81
1944;47;5;16001.68
1945;47;5;10877.87
1946;47;5;5190.28
1947;47;5;7083.43
1948;47;4;32356.04
1949;47;4;13296.04
1950;47;4;12552.82
1951;47;4;71861.31
1952;47;4;18537.47
1953;47;4;19088.39
1954;47;4;141331.09
1955;48;5;43493.09
1956;48;5;44578.4
1957;48;5;40344.16
1958;48;5;14810.26
1959;48;5;32573.23
1960;48;5;32974.36
1961;48;5;44531.88
1962;48;5;43998.17
1963;48;5;8459.92
1964;48;5;10102.83
1965;48;5;8384.08
1966;48;5;16007.98
1967;48;5;7865.35
1968;48;5;11300.64
1969;48;5;22193.64
1970;48;5;11566.22
1971;48;5;9872.24
1972;48;5;13881.76
1973;48;5;13238.52
1974;48;5;33343.16
1975;48;5;14845.83
1976;48;5;7992.38
1977;48;5;8358.66
1978;48;5;11763.51
1979;48;5;10775.07
1980;48;5;77047.3
1981;48;5;38151.58
1982;48;5;37901.87
1983;48;5;13504.1
1984;48;5;35045.59
1985;48;5;33240.33
1986;48;5;29808.04
1987;48;5;10375.79
1988;48;5;10325.03
1989;48;5;7143.38
1990;48;5;10041.74
1991;48;5;7500.1
1992;48;5;7678.36
1994;49;4;504462.98
1996;50;4;187404.51
1997;50;4;107980.31
1998;50;4;27337.6
1999;50;4;32208.7
2000;50;4;27601.14
2001;50;4;33631.81
2002;50;4;16645.91
2003;50;4;41540.7
2004;50;4;27667.01
2005;50;4;21093.49
2006;50;4;12166.09
2007;50;4;20930.87
2008;50;4;16256.4
2009;50;4;22210.45
2010;50;4;8028.45
2011;50;4;9462.57
2012;50;4;12832.24
2013;50;4;23636.87
2014;50;4;7801.67
2015;50;4;11057.32
2016;50;4;11947.45
2017;50;4;8043.19
2018;50;4;28861.6
2019;50;4;19971.46
2020;50;4;9937.37
2021;50;4;7719
2022;50;4;7572.24
2023;50;4;16054.4
2024;50;4;10554.06
2025;50;4;11652.32
2026;50;4;6141.88
2027;50;4;7575.57
2028;50;4;18560.16
2029;50;4;35729.98
2030;50;4;10279.64
2031;50;4;8819.07
2032;50;4;8805.96
2033;50;4;11174.58
2034;50;4;10985.25
2035;50;4;7672.1
2036;50;4;10485.01
2037;50;4;5193.3
2038;50;4;6158.98
2039;50;4;16408.48
2040;50;4;45678.05
2041;50;4;41694.98
2042;50;4;19402.83
2043;50;4;10204.88
2044;50;4;9503.3
2045;50;4;11344.59
2046;50;4;10579.43
2047;50;4;7389.02
2048;50;4;16278.6
2049;50;4;8994.27
2050;50;4;34416.14
2051;50;4;15267.97
2052;50;4;14542.76
2053;50;4;9372.29
2054;50;4;10541.8
2055;50;4;9831.89
2056;51;3;34635.96
2057;51;3;16008.8
2058;51;3;20115.59
2059;51;3;8982.6
2060;51;3;9587.39
2061;51;3;48232.38
2062;51;3;6633.35
2063;51;3;15154.63
2064;51;3;14192.67
2065;51;3;9787.79
2066;51;3;13964.56
2067;51;3;12114.2
2068;51;3;15360.48
2069;51;3;20118.24
2070;51;3;30366.01
2071;51;3;15822.34
2072;51;3;8758.06
2073;51;3;11256.77
2074;51;3;11820.45
2075;51;3;12577.03
2076;51;3;16513.98
2077;51;3;17864
2079;51;3;10684.62
2080;51;3;26941.14
2081;51;3;74697.46
2082;51;3;19846.26
2083;51;3;15620.59
2084;51;3;20114.58
2085;51;3;10771.36
2086;51;3;13047.3
2087;51;3;19378.87
2089;51;3;26714.92
2090;51;3;12722.69
2091;52;3;13583.52
2092;52;3;65019.07
2093;52;3;18755.18
2094;52;3;12177.67
2095;52;3;28351.65
2096;52;3;26210.08
2097;52;3;117276.91
2098;52;3;17907.39
2099;52;3;36984.57
2100;52;3;20403.67
2101;52;3;16470.28
2102;52;3;250604.25
2103;53;2;90711.98
2104;53;2;13565.3
2105;53;2;35089.68
2106;53;2;17399.05
2107;53;2;11133.85
2108;53;2;9641.77
2109;53;2;7848.9
