COMUNE;SEZ2011;P1;P61;E17;E18;E19;E20
Milano;151460000277;120;34;0;0;1;5
Milano;151460000278;289;125;0;0;0;9
Milano;151460000279;76;38;1;0;0;5
Milano;151460000280;51;22;0;0;0;1
Milano;151460000281;355;188;0;0;3;22
Milano;151460000282;90;42;0;0;0;6
Milano;151460000283;229;117;0;0;0;10
Milano;151460000284;183;101;0;1;0;10
Milano;151460000285;378;216;0;1;4;23
Milano;151460000286;84;44;0;0;1;4
Milano;151460000287;70;29;0;0;0;4
Milano;151460000288;39;16;0;0;1;4
Milano;151460000289;176;109;0;2;8;6
Milano;151460000290;219;101;1;0;1;10
Milano;151460000291;23;11;0;1;1;0
Milano;151460000292;89;38;0;0;0;1
Milano;151460000293;242;112;1;0;0;11
Milano;151460000294;160;77;0;0;0;5
Milano;151460000295;284;132;1;1;1;10
Milano;151460000296;213;105;1;0;0;9
Milano;151460000297;309;130;2;0;0;10
Milano;151460000298;173;67;0;0;0;4
Milano;151460000299;63;28;0;0;0;2
Milano;151460000300;196;100;0;1;0;7
Milano;151460000301;229;103;0;0;0;7
Milano;151460000302;250;111;1;1;0;8
Milano;151460000303;212;101;0;0;2;5
Milano;151460000304;299;109;0;0;9;1
Milano;151460000305;398;182;1;0;1;10
Milano;151460000306;191;77;0;0;2;4
Milano;151460000307;286;152;2;3;3;9
Milano;151460000308;345;150;0;0;0;8
Milano;151460000309;199;122;1;2;9;7
Milano;151460000310;180;89;0;1;1;6
Milano;151460000311;15;8;4;0;0;1
Milano;151460000312;94;57;0;0;2;2
Milano;151460000313;0;0;0;0;0;0
Milano;151460000314;189;111;1;0;0;7
Milano;151460000315;159;108;0;0;0;5
Milano;151460000316;147;84;0;0;0;7
Milano;151460000317;124;61;0;0;0;3
Milano;151460000318;187;100;0;0;0;5
Milano;151460000319;252;145;0;1;0;7
Milano;151460000320;64;37;0;0;0;4
Milano;151460000321;141;74;0;0;0;6
Milano;151460000322;159;84;0;0;1;5
Milano;151460000323;190;100;0;0;0;5
Milano;151460000324;180;91;0;0;0;5
Milano;151460000325;330;162;0;2;0;10
Milano;151460000326;94;41;0;0;0;4
Milano;151460000327;88;41;0;0;0;6
Milano;151460000328;172;95;0;0;1;7
Milano;151460000329;219;107;0;0;0;12
Milano;151460000330;161;76;0;0;0;4
Milano;151460000331;162;70;0;0;0;3
Milano;151460000332;274;152;0;0;0;10
Milano;151460000333;25;15;0;0;0;1
Milano;151460000334;158;77;0;0;0;7
Milano;151460000335;30;15;0;0;0;1
Milano;151460000336;153;77;0;0;0;7
Milano;151460000337;64;33;0;0;0;1
Milano;151460000338;44;22;0;0;1;3
Milano;151460000339;175;82;0;0;1;4
Milano;151460000340;469;216;0;0;0;17
Milano;151460000341;0;0;0;0;0;0
Milano;151460000342;246;122;0;0;0;9
Milano;151460000343;178;86;0;1;0;5
Milano;151460000344;265;129;0;0;0;9
Milano;151460000345;152;74;0;1;0;7
Milano;151460000346;120;57;0;0;0;6
Milano;151460000347;174;93;0;0;0;11
Milano;151460000348;206;102;0;0;0;10
Milano;151460000349;229;114;0;0;1;8
Milano;151460000350;237;129;1;0;0;6
Milano;151460000351;263;121;0;0;0;8
Milano;151460000352;219;103;2;0;1;7
Milano;151460000353;220;112;1;0;0;10
Milano;151460000354;0;0;0;0;0;0
Milano;151460000355;275;104;0;0;0;6
Milano;151460000356;0;0;0;0;0;0
Milano;151460000357;8;8;0;1;0;0
Milano;151460000358;23;6;0;0;0;1
Milano;151460000359;137;55;0;0;0;3
Milano;151460000360;86;76;0;0;1;0
Milano;151460000361;14;7;0;1;0;0
Milano;151460000362;102;53;0;0;2;3
Milano;151460000363;345;145;2;2;2;6
Milano;151460000364;4;1;0;1;0;0
Milano;151460000365;154;84;2;0;2;5
Milano;151460000366;256;119;0;1;0;10
Milano;151460000367;184;87;0;0;0;7
Milano;151460000368;139;73;0;0;1;8
Milano;151460000369;153;67;0;0;0;8
Milano;151460000370;90;42;0;0;0;4
Milano;151460000371;118;62;0;0;0;8
Milano;151460000372;223;111;1;0;2;12
Milano;151460000373;99;45;0;0;0;8
Milano;151460000374;133;58;0;0;1;12
Milano;151460000375;150;67;1;0;0;5
Milano;151460000376;152;76;0;1;0;6
Milano;151460000377;386;163;0;0;0;9
Milano;151460000378;281;121;0;1;0;7
Milano;151460000379;83;37;0;1;0;4
Milano;151460000380;353;147;3;3;0;17
Milano;151460000381;418;182;0;3;3;19
Milano;151460000382;7;3;0;0;1;0
Milano;151460000383;131;58;0;4;0;4
Milano;151460000384;239;118;0;0;1;20
Milano;151460000385;388;159;0;2;2;24
Milano;151460000386;35;20;0;1;2;1
Milano;151460000387;2;0;0;1;0;0
Milano;151460000388;188;90;0;1;0;15
Milano;151460000389;23;13;0;0;1;0
Milano;151460000390;74;35;0;0;0;1
Milano;151460000391;119;49;0;0;0;8
Milano;151460000392;144;64;0;0;0;7
Milano;151460000393;220;104;0;0;0;4
Milano;151460000394;267;125;0;2;0;11
Milano;151460000395;187;100;1;0;0;7
Milano;151460000396;64;26;0;0;0;3
Milano;151460000397;87;33;0;0;0;4
Milano;151460000398;17;11;0;1;2;1
Milano;151460000399;15;7;0;0;0;2
Milano;151460000400;8;2;0;1;2;1
Milano;151460000401;233;114;1;0;0;11
Milano;151460000402;193;93;1;0;1;8
Milano;151460000403;5;2;0;1;0;0
Milano;151460000404;12;5;0;0;1;0
Milano;151460000405;198;98;0;0;0;5
Milano;151460000406;0;0;0;0;0;0
Milano;151460000407;14;5;0;0;1;0
Milano;151460000408;104;39;0;0;1;0
Milano;151460000409;188;87;0;0;0;7
Milano;151460000410;208;96;0;1;0;7
Milano;151460000411;6;3;0;0;0;1
Milano;151460000412;3;2;0;0;0;1
Milano;151460000413;9;4;0;0;1;1
Milano;151460000414;14;4;0;1;0;1
Milano;151460000415;88;42;0;1;1;5
Milano;151460000416;3;2;1;0;0;3
Milano;151460000417;11;4;0;1;0;1
Milano;151460000418;78;38;0;0;0;4
Milano;151460000419;244;113;1;0;1;11
Milano;151460000420;210;93;2;0;0;10
Milano;151460000421;205;94;2;0;0;7
Milano;151460000422;303;136;0;0;0;12
Milano;151460000423;363;167;1;0;0;14
Milano;151460000424;124;55;1;0;0;6
Milano;151460000425;0;0;0;0;0;0
Milano;151460000426;3;1;0;1;0;0
Milano;151460000427;0;0;0;0;0;0
Milano;151460000428;74;37;0;0;0;1
Milano;151460000429;0;0;0;0;0;0
Milano;151460000430;422;200;1;1;0;16
Milano;151460000431;92;44;0;0;0;3
Milano;151460000432;299;128;0;0;0;11
Milano;151460000433;25;12;0;1;0;2
Milano;151460000434;67;31;0;0;0;1
Milano;151460000435;242;110;0;1;3;13
Milano;151460000436;94;38;0;1;0;4
Milano;151460000437;216;99;0;0;0;5
Milano;151460000438;255;122;0;0;2;11
Milano;151460000439;492;265;1;0;0;12
Milano;151460000440;27;12;0;0;0;1
Milano;151460000441;304;126;1;2;0;16
Milano;151460000442;77;37;0;0;0;2
Milano;151460000443;217;95;1;1;0;7
Milano;151460000444;90;44;0;1;0;3
Milano;151460000445;0;0;0;0;0;0
Milano;151460000446;120;64;0;1;0;4
Milano;151460000447;0;0;0;0;0;0
Milano;151460000448;479;225;0;0;0;9
Milano;151460000449;53;33;0;0;1;1
Milano;151460000450;58;26;0;0;0;3
Milano;151460000451;149;71;2;0;0;5
Milano;151460000452;171;81;0;0;0;6
Milano;151460000453;525;179;0;0;0;13
Milano;151460000454;67;37;0;0;0;2
Milano;151460000455;243;92;0;0;0;9
Milano;151460000456;105;40;0;0;1;3
Milano;151460000457;0;0;0;0;0;0
Milano;151460000458;266;121;0;1;0;10
Milano;151460000459;94;33;0;0;0;2
Milano;151460000460;143;67;0;0;1;4
Milano;151460000461;296;159;0;0;0;8
Milano;151460000462;221;128;0;0;0;6
Milano;151460000463;279;124;1;0;2;8
Milano;151460000464;244;115;1;6;0;9
Milano;151460000465;344;173;0;1;0;18
Milano;151460000466;33;15;0;0;0;2
Milano;151460000467;249;126;2;0;1;12
Milano;151460000468;203;97;0;0;2;4
Milano;151460000469;241;100;0;1;2;7
Milano;151460000470;18;8;0;0;1;0
Milano;151460000471;293;163;0;0;0;13
Milano;151460000472;15;7;1;0;0;1
Milano;151460000473;405;188;0;0;0;16
Milano;151460000474;514;260;0;0;1;14
Milano;151460000475;11;4;0;0;0;4
Milano;151460000476;113;39;0;0;0;3
Milano;151460000477;107;51;0;0;0;7
Milano;151460000478;103;53;0;0;0;4
Milano;151460000479;82;43;0;1;1;4
Milano;151460000480;129;69;0;0;0;4
Milano;151460000481;0;0;0;0;0;0
Milano;151460000482;468;195;0;1;1;5
Milano;151460000483;460;218;0;0;1;15
Milano;151460000484;0;0;0;0;0;0
Milano;151460000485;270;138;0;0;1;9
Milano;151460000486;212;90;0;0;0;6
Milano;151460000487;130;51;1;0;0;5
Milano;151460000488;9;7;0;1;0;0
Milano;151460000489;199;83;0;1;0;7
Milano;151460000490;120;60;1;1;0;7
Milano;151460000491;44;21;0;0;0;1
Milano;151460000492;69;27;0;0;0;2
Milano;151460000493;57;24;0;1;2;4
Milano;151460000494;278;115;0;0;0;8
Milano;151460000495;0;0;0;0;0;0
Milano;151460000496;77;40;1;1;1;4
Milano;151460000497;112;58;0;1;0;7
Milano;151460000498;54;21;1;0;0;2
Milano;151460000499;48;21;1;0;0;3
Milano;151460000500;154;74;1;1;1;6
Milano;151460000501;247;111;2;3;0;8
Milano;151460000502;62;23;0;0;0;3
Milano;151460000503;71;34;0;0;0;4
Milano;151460000504;330;165;1;1;0;16
Milano;151460000505;145;72;1;1;1;7
Milano;151460000506;126;62;1;2;1;8
Milano;151460000507;173;85;1;0;0;6
Milano;151460000508;41;18;0;1;3;2
Milano;151460000509;66;37;0;0;0;3
Milano;151460000510;23;6;0;1;1;0
Milano;151460000511;171;81;1;0;0;14
Milano;151460000512;157;76;0;1;0;8
Milano;151460000513;38;15;0;0;0;3
Milano;151460000514;114;46;0;0;0;7
Milano;151460000515;211;102;0;0;1;7
Milano;151460000516;63;31;0;0;0;5
Milano;151460000517;19;9;0;0;0;2
Milano;151460000518;122;51;0;0;0;4
Milano;151460000519;127;59;0;0;0;7
Milano;151460000520;116;63;1;0;0;6
Milano;151460000521;205;103;0;0;3;16
Milano;151460000522;48;24;1;0;3;3
Milano;151460000523;142;64;0;0;2;12
Milano;151460000524;107;42;0;0;1;6
Milano;151460000525;124;67;1;2;3;7
Milano;151460000526;155;73;1;1;0;8
